country,Year,DCI
Italy,1939,0.868848301
Italy,1940,0.935337919
Italy,1941,NA
Italy,1942,0.988298453
Italy,1943,0.937472936
Italy,1944,0.820995486
Italy,1945,0.819186396
Italy,1946,0.81496079
Italy,1947,0.81934789
Italy,1948,0.825137202
Italy,1949,0.828758405
Italy,1950,0.806370086
Italy,1951,0.825956403
Italy,1952,0.826665504
Italy,1953,0.827311408
Italy,1954,0.823912419
Italy,1955,0.824140654
Italy,1956,0.824217785
Italy,1957,0.824123139
Italy,1958,0.823792016
Italy,1959,0.82452026
Italy,1960,0.822984873
Italy,1961,0.847149857
Italy,1962,0.846764713
Italy,1963,0.852227304
Italy,1964,0.860492772
Italy,1965,0.844022924
Italy,1966,0.839995624
Italy,1967,0.838846695
Italy,1968,0.838490613
Italy,1969,0.83891386
Italy,1970,0.838616503
Italy,1971,0.838355168
Italy,1972,0.848223466
Italy,1973,0.852439216
Italy,1974,0.850409748
Italy,1975,0.840389661
Italy,1976,0.839550004
Italy,1977,0.842061835
Italy,1978,0.843717636
Italy,1979,0.843684854
Italy,1980,0.844859725
Italy,1981,0.845421501
Italy,1982,0.846790943
Italy,1983,0.844203507
Italy,1984,0.84530569
Italy,1985,0.844666621
Italy,1986,0.847653508
Italy,1987,0.844465823
Italy,1988,0.844624362
Italy,1989,0.844526383
Italy,1990,0.842748389
Italy,1991,0.840998275
Italy,1992,0.840620937
Italy,1993,0.837521631
Italy,1994,0.835352378
Italy,1995,0.835111352
Italy,1996,0.834444962
Italy,1997,0.832504434
Italy,1998,0.83000983
Italy,1999,0.828264096
Italy,2000,0.800014454
Italy,2001,0.794736028
Italy,2002,0.790559097
Italy,2003,0.785235503
Italy,2004,0.783104066
Italy,2005,0.781395766
Italy,2006,0.781099042
Italy,2007,0.780716298
Italy,2008,0.814850198
Italy,2009,0.797490093
Italy,2010,0.802975387
Italy,2011,0.804231494
Italy,2012,0.802784601
Italy,2013,0.802231154
Italy,2014,0.801353902
Luxembourg,1816,NA
Luxembourg,1817,NA
Luxembourg,1818,NA
Luxembourg,1819,NA
Luxembourg,1820,NA
Luxembourg,1821,NA
Luxembourg,1822,NA
Luxembourg,1823,NA
Luxembourg,1824,NA
Luxembourg,1825,NA
Luxembourg,1826,NA
Luxembourg,1827,NA
Luxembourg,1828,NA
Luxembourg,1829,NA
Luxembourg,1830,NA
Luxembourg,1831,NA
Luxembourg,1832,NA
Luxembourg,1833,NA
Luxembourg,1834,NA
Luxembourg,1835,NA
Luxembourg,1836,NA
Luxembourg,1837,NA
Luxembourg,1838,NA
Luxembourg,1839,NA
Luxembourg,1840,NA
Luxembourg,1841,NA
Luxembourg,1842,NA
Luxembourg,1843,NA
Luxembourg,1844,NA
Luxembourg,1845,NA
Luxembourg,1846,NA
Luxembourg,1847,NA
Luxembourg,1848,NA
Luxembourg,1849,NA
Luxembourg,1850,NA
Luxembourg,1851,NA
Luxembourg,1852,NA
Luxembourg,1853,NA
Luxembourg,1854,NA
Luxembourg,1855,NA
Luxembourg,1856,NA
Luxembourg,1857,NA
Luxembourg,1858,NA
Luxembourg,1859,NA
Luxembourg,1860,NA
Luxembourg,1861,NA
Luxembourg,1862,NA
Luxembourg,1863,NA
Luxembourg,1864,NA
Luxembourg,1865,NA
Luxembourg,1866,NA
Luxembourg,1867,NA
Luxembourg,1868,NA
Luxembourg,1869,NA
Luxembourg,1870,NA
Luxembourg,1871,NA
Luxembourg,1872,NA
Luxembourg,1873,NA
Luxembourg,1874,NA
Luxembourg,1875,NA
Luxembourg,1876,NA
Luxembourg,1877,NA
Luxembourg,1878,NA
Luxembourg,1879,NA
Luxembourg,1880,NA
Luxembourg,1881,NA
Luxembourg,1882,NA
Luxembourg,1883,NA
Luxembourg,1884,NA
Luxembourg,1885,NA
Luxembourg,1886,NA
Luxembourg,1887,NA
Luxembourg,1888,NA
